customer_age,asset_value,credit_score,contract_length,interest_rate,payment_frequency,time_to_default,defaulted
52.0,30378.95,735.0,48,0.0604,2,18.6,0
43.0,44112.59,728.0,24,0.0473,4,11.44,0
55.0,32945.8,606.0,48,0.0682,12,2.38,0
68.0,66864.14,758.0,48,0.0413,12,22.79,0
41.0,198229.06,551.0,48,0.02,2,18.55,1
41.0,27693.63,635.0,36,0.0361,2,4.97,1
69.0,162888.39,500.0,24,0.02,4,8.43,1
57.0,27400.81,850.0,48,0.02,4,9.1,0
38.0,25651.9,677.0,12,0.0568,1,4.1,0
53.0,135753.31,850.0,24,0.0539,12,5.53,0
38.0,150532.81,780.0,60,0.0386,2,12.59,0
38.0,140282.0,745.0,12,0.0466,1,27.94,0
49.0,16061.86,641.0,60,0.02,4,26.67,0
18.0,37573.3,595.0,48,0.0635,2,3.93,1
19.0,136351.12,752.0,36,0.0459,12,22.55,0
37.0,62413.81,693.0,48,0.0605,2,52.81,0
30.0,20461.64,566.0,48,0.0594,2,53.08,0
50.0,94685.67,548.0,60,0.0557,1,39.47,0
31.0,29295.6,604.0,48,0.031,2,15.72,1
24.0,360239.67,850.0,12,0.0556,1,10.16,1
67.0,280643.78,850.0,36,0.0588,1,5.82,1
42.0,109545.74,720.0,60,0.0365,4,36.46,1
46.0,233516.19,715.0,24,0.0564,2,20.79,1
24.0,63881.9,666.0,48,0.021,1,19.67,0
37.0,128725.5,607.0,60,0.061,2,11.51,0
47.0,262424.92,838.0,48,0.0561,12,7.2,1
28.0,76534.64,850.0,48,0.0798,2,0.13,1
51.0,46388.78,611.0,60,0.0885,4,3.89,1
36.0,10887.58,692.0,12,0.0449,1,2.55,0
41.0,55097.88,655.0,24,0.0602,1,48.38,0
36.0,136410.39,658.0,48,0.0569,12,12.14,0
73.0,154142.6,819.0,12,0.0445,4,4.05,1
45.0,99147.61,569.0,48,0.02,1,39.62,0
29.0,34846.25,747.0,48,0.0273,12,24.75,0
57.0,8293.09,773.0,12,0.0393,1,4.97,1
27.0,36489.69,686.0,48,0.0554,1,32.26,0
48.0,44163.55,789.0,24,0.0776,4,13.51,0
18.0,43786.07,715.0,60,0.048,12,7.75,0
25.0,111141.16,822.0,12,0.0708,1,21.7,1
48.0,436121.61,548.0,36,0.079,2,4.16,1
56.0,67746.58,665.0,48,0.0385,12,37.28,0
48.0,48207.42,693.0,60,0.0219,4,16.7,0
43.0,46201.99,433.0,24,0.0507,4,24.13,0
40.0,67804.56,591.0,24,0.0232,4,8.84,0
23.0,26152.66,619.0,36,0.0863,1,21.54,1
34.0,67521.31,795.0,24,0.0733,4,0.9,0
38.0,93977.66,629.0,60,0.0782,12,0.17,0
61.0,73842.23,618.0,36,0.02,1,13.76,1
50.0,94612.22,782.0,12,0.0427,2,20.27,1
19.0,92387.56,538.0,36,0.0511,4,8.63,0
50.0,10179.22,493.0,12,0.058,4,43.38,0
39.0,113195.33,664.0,24,0.0428,4,55.92,0
35.0,30607.03,555.0,60,0.02,2,16.0,1
54.0,20013.47,559.0,48,0.0592,1,4.65,1
60.0,19841.84,757.0,36,0.0853,4,16.14,1
59.0,92368.53,788.0,24,0.0902,2,32.62,1
32.0,47926.56,779.0,60,0.0447,1,22.98,0
40.0,11137.03,811.0,48,0.0516,12,12.94,1
50.0,96571.39,824.0,36,0.0299,4,18.6,1
60.0,14191.41,487.0,60,0.0516,1,56.59,0
38.0,68859.35,745.0,24,0.0414,4,27.43,1
42.0,76000.78,647.0,36,0.0396,2,16.48,1
28.0,145157.85,625.0,36,0.0201,1,40.31,0
